job_id,tab,position,total_jobs_in_tab,company,title,url,scraped_at
reco-140926917104,top_candidate,9,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926917104,2026-09-18T16:26:09.108413+00:00
reco-140926917125,top_candidate,10,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926917125,2026-09-18T16:26:11.121290+00:00
reco-140926915211,top_candidate,11,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926915211,2026-09-18T16:26:13.072196+00:00
reco-140926916559,top_candidate,12,77,Accenture,Application Developer,https://www.naukri.com/job-listings-140926916559,2026-09-18T16:26:14.974641+00:00
reco-140926917072,top_candidate,13,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926917072,2026-09-18T16:26:16.892219+00:00
reco-140926914796,top_candidate,14,77,Accenture,Quality Engineer,https://www.naukri.com/job-listings-140926914796,2026-09-18T16:26:18.840442+00:00
reco-140926917214,top_candidate,15,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926917214,2026-09-18T16:26:20.758397+00:00
reco-140926916210,top_candidate,16,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916210,2026-09-18T16:26:22.662719+00:00
reco-140926916339,top_candidate,17,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916339,2026-09-18T16:26:24.583948+00:00
reco-140926916535,top_candidate,18,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916535,2026-09-18T16:26:26.498028+00:00
reco-140926916648,top_candidate,19,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916648,2026-09-18T16:26:28.429180+00:00
reco-140926916650,top_candidate,20,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916650,2026-09-18T16:26:30.349023+00:00
reco-140926916651,top_candidate,21,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916651,2026-09-18T16:26:32.243203+00:00
reco-140926916652,top_candidate,22,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916652,2026-09-18T16:26:34.203923+00:00
reco-140926916712,top_candidate,23,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916712,2026-09-18T16:26:36.199710+00:00
reco-140926916727,top_candidate,24,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916727,2026-09-18T16:26:38.224759+00:00
reco-140926916900,top_candidate,25,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916900,2026-09-18T16:26:40.176218+00:00
reco-140926916906,top_candidate,26,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916906,2026-09-18T16:26:42.127789+00:00
reco-140926916908,top_candidate,27,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916908,2026-09-18T16:26:44.035837+00:00
reco-140926916910,top_candidate,28,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916910,2026-09-18T16:26:45.952476+00:00
reco-140926916911,top_candidate,29,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916911,2026-09-18T16:26:47.898410+00:00
reco-140926916912,top_candidate,30,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916912,2026-09-18T16:26:49.793986+00:00
reco-140926916914,top_candidate,31,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916914,2026-09-18T16:26:51.687078+00:00
reco-140926916918,top_candidate,32,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916918,2026-09-18T16:26:53.606819+00:00
reco-140926916920,top_candidate,33,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916920,2026-09-18T16:26:55.501334+00:00
reco-140926916967,top_candidate,34,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916967,2026-09-18T16:26:57.436797+00:00
reco-140926916968,top_candidate,35,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916968,2026-09-18T16:26:59.336114+00:00
reco-140926916969,top_candidate,36,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916969,2026-09-18T16:27:01.245865+00:00
reco-140926916970,top_candidate,37,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916970,2026-09-18T16:27:03.147625+00:00
reco-140926916971,top_candidate,38,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916971,2026-09-18T16:27:05.064738+00:00
reco-140926916975,top_candidate,39,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916975,2026-09-18T16:27:07.028683+00:00
reco-140926916977,top_candidate,40,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916977,2026-09-18T16:27:08.938725+00:00
reco-140926916978,top_candidate,41,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916978,2026-09-18T16:27:10.830984+00:00
reco-140926916979,top_candidate,42,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916979,2026-09-18T16:27:12.763244+00:00
reco-140926917003,top_candidate,43,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926917003,2026-09-18T16:27:14.686983+00:00
reco-140926917004,top_candidate,44,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926917004,2026-09-18T16:27:16.589174+00:00
reco-140926917006,top_candidate,45,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926917006,2026-09-18T16:27:18.508050+00:00
reco-140926917020,top_candidate,46,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926917020,2026-09-18T16:27:20.412534+00:00
reco-140926917021,top_candidate,47,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926917021,2026-09-18T16:27:22.373515+00:00
reco-140926917023,top_candidate,48,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926917023,2026-09-18T16:27:24.336617+00:00
reco-140926917030,top_candidate,49,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926917030,2026-09-18T16:27:26.275755+00:00
